got_type,name,node_type,status,url
,Samwell Stone,Person,Alive,Samwell_Stone
,Kyle Royce,Person,,Kyle_Royce
,Kaeth,Person,Deceased,Kaeth
,Bethany Redwyne,Person,Alive,Bethany_Redwyne
,Ryam Redwyne,Person,,Ryam_Redwyne
,Rhaenys Targaryen,Person,Deceased,Rhaenys_Targaryen_(Queen_Who_Never_Was)
,Helaena Targaryen,Person,Deceased,Helaena_Targaryen
,Alysanne Targaryen,Person,Deceased,Alysanne_Targaryen
,Alicent Hightower,Person,Deceased,Alicent_Hightower
,Aegon Targaryen,Person,Deceased,Aegon_Targaryen_(son_of_Aenys)
,Rhaena Targaryen,Person,Deceased,Rhaena_Targaryen_(daughter_of_Aenys)
,Daenys Targaryen,Person,Deceased,Daenys_Targaryen
,Aenar Targaryen,Person,Deceased,Aenar_Targaryen
,Trial by Seven of ,Event,,Trial_by_Seven_of_Duncan_the_Tall
,House Tallhart,House,,House_Tallhart
,Daena Targaryen,Person,Deceased,Daena_Targaryen
,Barth,Person,Deceased,Barth
,Aemon Blackfyre,Person,Deceased,Aemon_Blackfyre
,Aegon Blackfyre,Person,Deceased,Aegon_Blackfyre
,Serena Blackfyre,Person,Deceased,Serena_Blackfyre
Dungeon,The Black Cells,Location,,Black_Cells
,Aelinor Targaryen,Person,Deceased,Aelinor_Targaryen
,Baelor Targaryen,Person,Deceased,Baelor_Targaryen_(son_of_Daeron_II)
,Dyanna Dayne,Person,Deceased,Dyanna_Dayne
Mammal,Bears,Animal,Active,Bears
,Aegon Targaryen,Person,Deceased,Aegon_Targaryen_(son_of_Rhaegar_and_Elia)
,Leyton Hightower,Person,Alive,Leyton_Hightower
,Manfred Hightower,Person,Deceased,Manfred_Hightower
,Runcel Hightower,Person,Deceased,Runcel_Hightower
,Dorian Hightower,Person,Deceased,Dorian_Hightower
,Lymond Hightower,Person,Deceased,Lymond_Hightower
,Wildfire Plot,Event,,Wildfire_Plot
,Urrigon Hightower,Person,Deceased,Urrigon_Hightower
Reptile,Basilisks,Animal,Active,Basilisks
,Harwyn Hoare,Person,Deceased,Harwyn_Hoare
Feudal  hereditary  absolute  monarchy; Kingdom,Kingdom of the Stormlands,Location,,Kingdom_of_the_Stormlands
,House Botley,House,,House_Botley
,Damon Marbrand,Person,Alive,Damon_Marbrand
City,Ar Noy,Location,Ruined,Ar_Noy
,Ralf Kenning,Person,Deceased,Ralf_Kenning
,Harlon,Person,Deceased,Harlon_the_Hunter
,Ironborn Invasion of the North,Event,,Ironborn_Invasion_of_the_North
,The Griffin King,Person,Deceased,Griffin_King
Reptile- magical,Sea dragons,Animal,Possibly extinct,Sea_dragons
,Blood,Animal,Alive,Blood_(horse)
,Elenei,Person,Deceased,Elenei
,Nissa Nissa,Person,Deceased,Nissa_Nissa
,Orys I,Person,Deceased,Orys_I
,Tanselle,Person,Deceased,Tanselle
,Dorian Hightower's second wife,Person,,Dorian_Hightower%27s_second_wife
,Dorian Hightower's first wife,Person,,Dorian_Hightower%27s_first_wife
,Harrag,Person,Alive,Harrag
,Urzen,Person,Deceased,Urzen
,Aggar,Person,Deceased,Aggar
,Stygg,Person,Deceased,Stygg
,Arson,Person,Deceased,Arson_Iceaxe
,Gelmarr,Person,Deceased,Gelmarr
,Alannys Greyjoy,Person,Deceased,Alannys_Greyjoy
,Maron Greyjoy,Person,Deceased,Maron_Greyjoy
,Rodrik Greyjoy,Person,Deceased,Rodrik_Greyjoy
,Dalton Greyjoy,Person,Deceased,Dalton_Greyjoy
,Vickon Greyjoy,Person,Deceased,Vickon_Greyjoy
,Ceryse Hightower,Person,Deceased,Ceryse_Hightower
,Murmison,Person,Deceased,Murmison
,Battle of Golden Tooth,Event,,Battle_of_the_Golden_Tooth
,Siege of Riverrun,Event,,Siege_of_Riverrun
,Hearteater,Weapon,,Hearteater
,Edmyn Tully,Person,Deceased,Edmyn_Tully
,Minisa Tully,Person,Deceased,Minisa_Tully
,The Age of Heroes,HistoriesNLore,,The_Age_of_Heroes
,Bolton soldier,Person,Deceased,Bolton_soldier_(Walk_of_Punishment)
,Tess,Person,Deceased,Tess
,Tristan Mudd,Person,Deceased,Tristan_Mudd
,Mole's Town whore,Person,Deceased,Mole%27s_Town_whore
,Harren Hoare,Person,Deceased,Harren_Hoare
,Quenton Qoherys,Person,Deceased,Quenton_Qoherys
,Eon Hunter,Person,Alive,Eon_Hunter
,High Septon,Person,Deceased,High_Septon_(Faith_Militant_uprising)
,Battle of the Seven Stars,Event,,Battle_of_the_Seven_Stars
,Torgold Tollett,Person,Deceased,Torgold_Tollett
,Larys Strong,Person,Deceased,Larys_Strong
,Jon Lynderly,Person,Alive,Jon_Lynderly
,Lannister guard,Person,Alive,Lannister_guard_1
,Morgan's friend,Person,Alive,Morgan%27s_friend
,Morgan,Person,Alive,Morgan_(Two_Swords)
,Singing Lannister soldier,Person,Uncertain,Singing_Lannister_soldier
,Lannister soldier,Person,Alive,Lannister_soldier_(The_Prince_of_Winterfell)
,Lannister torturer,Person,Alive,Lannister_torturer
,Marq Rankenfell,Person,Deceased,Marq_Rankenfell
,Robin Hill,Person,Deceased,Robin_Hill
,Wounded Lannister,Person,Alive,Wounded_Lannister
,Lannister guardsman,Person,Deceased,Lannister_guardsman_(Garden_of_Bones)
,Rennick,Person,Deceased,Rennick
,Lion's Tooth,Weapon,Lost in the waters of the Trident,Lion%27s_Tooth
,Willis Wode,Person,Deceased,Willis_Wode
,Casterly (founder),Person,Deceased,Casterly_(founder)
,Lannister guardsman,Person,Alive,Lannister_guardsman_(The_Kingsroad)
,Shella Whent,Person,Deceased,Shella_Whent
,Walter Whent,Person,Deceased,Walter_Whent
,Frey soldier,Person,Deceased,Frey_soldier_2
,Roslin Tully,Person,Alive,Roslin_Tully
,Stevron Frey,Person,Deceased,Stevron_Frey
,Bolton soldier,Person,Deceased,Bolton_man_2
,Bolton guard,Person,Deceased,Bolton_guard_(The_Laws_of_Gods_and_Men)
,House Erenford,House,,House_Erenford
,House Smallwood,House,,House_Smallwood
,House Mooton,House,,House_Mooton
,Florian,Person,Deceased,Florian
,Bolton soldier,Person,Deceased,Bolton_soldier_1
,Tom,Person,Deceased,Tom
,Dim Dalba,Person,Uncertain after the Battle of Bastards,Dim_Dalba
,Kurleket,Person,Deceased,Kurleket
,Arthur,Person,Alive,Arthur_(little_bird)
,Lannister bannerman,Person,Alive,Lannister_bannerman_3_(The_Ghost_of_Harrenhal)
,Lannister bannerman,Person,Alive,Lannister_bannerman_2_(The_Ghost_of_Harrenhal)
,Lannister bannerman,Person,Alive,Lannister_bannerman_1_(The_Ghost_of_Harrenhal)
,Reginald Lannister,Person,Alive,Reginald_Lannister
,Yandel,Person,Alive,Yandel
,Theomar Smallwood,Person,Alive,Theomar_Smallwood
Tower,Maegor's Holdfast,Location,In use,Maegor%27s_Holdfast
,Mhaegen,Person,Alive,Mhaegen
Castle,Haystack Hall,Location,,Haystack_Hall
,Daisy,Person,Uncertain after the murder of Ros by Joffrey Baratheon,Daisy
,Stark soldier,Person,Deceased,Stark_soldier_(Valar_Morghulis)
,Armeca,Person,Alive,Armeca
,House Cargyll,House,,House_Cargyll
,House Velaryon,House,,House_Velaryon
,House Thorne,House,,House_Thorne
,House Slynt,House,,House_Slynt
,House Rykker,House,,House_Rykker
,House Gaunt,House,,House_Gaunt
,House Chelsted,House,,House_Chelsted
,House Blount,House,,House_Blount
,Wyllis Bracken,Person,Alive,Wyllis_Bracken
,Bethany Bracken,Person,Deceased,Bethany_Bracken
,House Hollard,House,,House_Hollard
,House Durwell,House,,House_Durwell
,House Rowan,House,,House_Rowan
,House Oakheart,House,,House_Oakheart
,House Merryweather,House,,House_Merryweather
,House Leygood,House,,House_Leygood
,House Bulwer,House,,House_Bulwer
,House Beesbury,House,,House_Beesbury
,House Ashford,House,,House_Ashford
,Symun Fossoway,Person,Alive,Symun_Fossoway
Castle,Cider Hall,Location,,Cider_Hall
,House Corbray,House,,House_Corbray
Mountain pass,Skirling Pass,Location,,Skirling_Pass
,Addam Velaryon,Person,Deceased,Addam_Velaryon
,Great Tourney at Harrenhal,Location,,Great_Tourney_at_Harrenhal
,Symon Hollard,Person,Deceased,Symon_Hollard
,House Payne,House,,House_Payne
,House Lefford,House,,House_Lefford
,Garibald Tarwick,Person,Alive,Garibald_Tarwick
,Lollys Stokeworth,Person,Alive,Lollys_Stokeworth
,House Lannister of Lannisport,House,,House_Lannister_of_Lannisport
,House Estermont,House,,House_Estermont
,Cassana Baratheon,Person,Deceased,Cassana_Baratheon
,Jon Karstark,Person,Deceased,Jon_Karstark
,Laurence Karstark,Person,Deceased,Laurence_Karstark
,Petyr Karstark,Person,Deceased,Petyr_Karstark
,Berrican Karstark,Person,Deceased,Berrican_Karstark
,Barra,Person,Deceased,Barra
,Melessa Tarly,Person,Alive,Melessa_Tarly
,Talla Tarly,Person,Alive,Talla_Tarly
,Colloquo Votar,Person,Deceased,Colloquo_Votar
,Regan Karstark,Person,Deceased,Regan_Karstark
,Vance Corbray,Person,Alive,Vance_Corbray
,Varly,Person,Deceased,Varly
,Lord Ashford,Person,Alive,Ashford_(Lord)
,Stark messenger,Person,Uncertain,Stark_messenger
,Stark guard,Person,Uncertain,Stark_guard_(A_Man_Without_Honor)
,Stark guard,Person,Uncertain,Stark_guard_(Fire_and_Blood)
,Stark guard,Person,Uncertain,Stark_guard_(The_Pointy_End)
,Tomard,Person,Alive,Tomard
,Mara Karstark,Person,Deceased,Mara_Karstark
,Beric Karstark,Person,Deceased,Beric_Karstark
,Ethan Glover,Person,,Ethan_Glover
,Falyse Stokeworth,Person,Alive,Falyse_Stokeworth
,Tanda Stokeworth,Person,Alive,Tanda_Stokeworth
Castle,Greenstone,Location,,Greenstone
,Lord Stokeworth,Person,Deceased,Stokeworth_(Lord)
,House Tarwick,House,,House_Tarwick
,The Sack of King's Landing,HistoriesNLore,,The_Sack_of_King%27s_Landing
,Tommard Karstark,Person,Deceased,Tommard_Karstark
,Wex,Person,Deceased,Wex
,Hallyne,Person,Alive,Hallyne
,Rylene Florent,Person,Alive,Rylene_Florent
,Royal Steward,Person,Alive,Royal_Steward
,Anya Waynwood,Person,Alive,Anya_Waynwood
,Cley Cerwyn,Person,Alive,Cley_Cerwyn
,Waldra Frey,Person,Alive,Waldra_Frey
,Walda Frey,Person,Alive,Walda_Frey_(The_Rains_of_Castamere)
,Serra Frey,Person,Alive,Serra_Frey
,Gyles Rosby,Person,Alive,Gyles_Rosby
,Sarra Frey,Person,Alive,Sarra_Frey
,Shirei Frey,Person,Alive,Shirei_Frey
,Neyela Frey,Person,Alive,Neyela_Frey
,Janeya Frey,Person,Alive,Janeya_Frey
,Freya Frey,Person,Alive,Freya_Frey
,Derwa Frey,Person,Alive,Derwa_Frey
,Frey,Person,Deceased,Frey_(founder)
Castle- regional capital,Riverrun,Location,,Lord_of_Riverrun
,Merry Frey,Person,Alive,Merry_Frey
,Marianne Frey,Person,Alive,Marianne_Frey
,Arwaya Frey,Person,Alive,Arwaya_Frey
,Dwarf,Person,Alive,Dwarf_5
,Dwarf,Person,Alive,Dwarf_4
,Dwarf,Person,Alive,Dwarf_3
,Frances,Person,Alive,Frances
,Donnel Waynwood,Person,Alive,Donnel_Waynwood
,Jonquil,Person,Deceased,Jonquil
,Dwarf,Person,Alive,Dwarf_2
,Riverlands traveller,Person,Alive,Riverlands_traveller
,Massacre in the Red Keep,Event,,Massacre_in_the_Red_Keep
,Assassination of Jon Arryn,Event,,Assassination_of_Jon_Arryn
,Leo Lefford,Person,Uncertain,Leo_Lefford
,Nymeria,Animal,Alive,Nymeria_(direwolf)
,Battle of the Green Fork,Event,,Battle_of_the_Green_Fork
,Alys Karstark,Person,Alive,Alys_Karstark
,Harald Karstark,Person,Deceased,Harald_Karstark
,Lady,Animal,Deceased,Lady
,Erena Glover,Person,Alive,Erena_Glover
,Gawen Glover,Person,Alive,Gawen_Glover
,Sybelle Glover,Person,Alive,Sybelle_Glover
,Clarenzo,Person,Alive,Clarenzo
,Walda Frey,Person,Alive,Walda_Frey_(grandniece_of_Lord_Walder)
,The thin man,Person,Alive,Thin_man
,Jasper Arryn,Person,Deceased,Jasper_Arryn
,Bianca,Person,Alive,Bianca
,Izembaro,Person,Alive,Izembaro
,Aemma Arryn,Person,Deceased,Aemma_Arryn
,Ronnel Arryn,Person,Deceased,Ronnel_Arryn_(King)
,Sharra Arryn,Person,Deceased,Sharra_Arryn
,Bobono,Person,Alive,Bobono
,Smiling Knight,Person,Deceased,Smiling_Knight
,Simon Toyne,Person,Deceased,Simon_Toyne
Town,Wickendon,Location,,Wickendon
,Bowen,Person,Determinant,Bowen
Square- Theatre,Sheelba Square,Location,,Sheelba_Square
Castle,Strongsong,Location,,Strongsong
Town,Sisterton,Location,,Sisterton
Castle,Old Anchor,Location,,Old_Anchor
Castle,Longbow Hall,Location,,Longbow_Hall
Castle,Ironoaks,Location,,Ironoaks
,Mummer,Person,Alive,Mummer_3
,Brusco,Person,Alive,Brusco
,Mummer,Person,Alive,Mummer_2
Castle,The Redfort,Location,,The_Redfort
,Mummer,Person,Alive,Mummer_1
,Musician,Person,Alive,Musician_5_(The_Door)
,Musician,Person,Alive,Musician_4_(The_Door)
,Dolf,Person,Deceased,Dolf
,Ulf,Person,Alive,Ulf
,Musician,Person,Alive,Musician_3_(The_Door)
,Musician,Person,Alive,Musician_2_(The_Door)
,Musician,Person,Alive,Musician_1_(The_Door)
,Mummer,Person,Alive,Mummer_(Margaery_Tyrell)
,Camello,Person,Alive,Camello
Castle,Heart's Home,Location,,Heart%27s_Home
Castle,Coldwater,Location,,Coldwater
,Vardis Egen,Person,Deceased,Vardis_Egen
,Chella,Person,Alive,Chella
,Timett,Person,Alive,Timett
,Shagga,Person,Alive,Shagga
Mammal,Shadowcats,Animal,Active,Shadowcats
,House Westerling,House,,House_Westerling
Castle and town,Ashford,Location,,Ashford
,Lhara,Person,Alive,Lhara
,Brea,Person,Alive,Brea
,House Sarsfield,House,,House_Sarsfield
Castle,Tumbleton,Location,,Tumbleton
,Gunthor,Person,Uncertain,Gunthor
,House Crakehall,House,,House_Crakehall
,Surrender of the Crag,Event,,Surrender_of_the_Crag
,Battle of the Yellow Fork,Event,,Battle_of_the_Yellow_Fork
,Joss Stilwood,Person,Alive,Joss_Stilwood
Mammal,Lions,Animal,Nigh-extinct in Westeros - active in many regions of Essos .,Lions
,Cheyk,Person,Uncertain,Cheyk
,Clegane,Person,Deceased,Clegane_(founder)
,Fegg,Person,Alive,Fegg
,House Clegane,House,,House_Clegane
,Innkeeper,Person,Alive,Innkeeper
,Lowell,Person,Deceased,Lowell
Castle,Old Oak,Location,,Old_Oak
,Dark Sister,Weapon,Missing,Dark_Sister
,Stableboy,Person,Deceased,Stableboy
,Bathhouse prostitute,Person,Alive,Bathhouse_prostitute
,Ilyn Payne,Person,Alive,Ilyn_Payne
,Eldrick Sarsfield,Person,Alive,Eldrick_Sarsfield
,House Marbrand,House,,House_Marbrand
,Cedric Forrester,Person,Deceased,Cedric_Forrester
,Gerhard Forrester,Person,Deceased,Gerhard_Forrester
,Burton Crakehall,Person,Deceased,Burton_Crakehall
,Braavosi Madam,Person,Alive,Braavosi_madam
,Desmond Crakehall,Person,Alive,Desmond_Crakehall
,Braavosi prostitute,Person,Alive,Braavosi_prostitute
,House Branfield,House,,House_Branfield
,Thorren Forrester,Person,Deceased,Thorren_Forrester
,Malcolm Branfield,Person,Alive,Malcolm_Branfield
,Battle of Stone Mill,Event,,Battle_of_Stone_Mill
,Eglantine,Person,Alive,Eglantine
,Masha Heddle,Person,Uncertain,Masha_Heddle
,Lommy,Person,Deceased,Lommy
,Raid by the Gods Eye,Event,,Raid_by_the_Gods_Eye
,Dying man,Person,Deceased,Dying_man
Castle,Vaith,Location,,Vaith
,House Rosby,House,,House_Rosby
,Blackfyre,Weapon,Missing,Blackfyre
Castle,Nightsong,Location,,Nightsong
,Aya,Person,Alive,Aya
,Croft,Person,Alive,Croft
Sellsword company,Lost Legion,Organization,Active,Lost_Legion
,Talia Branfield,Person,Deceased,Talia_Branfield
,Lord Branfield,Person,Deceased,Branfield_(Lord)
,Anara,Person,Alive,Anara
Castle,Wyl,Location,,Wyl_(castle)
Mill,Stone Mill,Location,,Stone_Mill
,Bryan,Person,Uncertain,Bryan
Castle,Yronwood,Location,,Yronwood
Castle,Hellholt,Location,,Hellholt
,Prisoner,Person,Deceased,Prisoner
,Lucan,Person,Alive,Lucan_(Telltale)
Street,Muddy Way,Location,,Muddy_Way
,Godwyn,Person,Alive,Godwyn
,Damien,Person,Deceased,Damien
,Tom,Person,Determinant,Tom_(Telltale)
,Whore,Person,Alive,Whore_(The_Stranger)
,Whore,Person,Alive,Whore_(Mother_of_Dragons)
Port Town,Planky Town,Location,,Planky_Town
,High Septon,Person,Deceased,High_Septon_(War_of_Conquest)
,Daeron I Targaryen,Person,Deceased,Daeron_I_Targaryen
,Dragon's Wroth,Event,,Dragon%27s_Wroth
,Attempt of assassination on Aegon I,Event,,Attempt_of_assassination_on_Aegon_I
,Siege of Hellholt,Event,,Siege_of_Hellholt
,Assault on Oldtown,Event,,Assault_on_Oldtown
,Uprising in Sunspear,Event,,Uprising_in_Sunspear
,Occupation of Sunspear,Event,,Occupation_of_Sunspear
,Bezzaq,Person,Deceased,Bezzaq
,Dezhor zo Raza,Person,Determinant,Dezhor_zo_Raza
,Kieran,Person,Alive,Kieran
,Penn,Person,Alive,Penn
,Therrond,Person,Alive,Therrond
,Nail,Person,Alive,Nail
,Rhogar,Person,Uncertain,Rhogar
,Tazal,Person,Determinant,Tazal
,Jodan,Person,Alive,Jodan
,Battle of Yunkai,Event,,Battle_of_Yunkai
,Joffrey Dayne,Person,Deceased,Joffrey_Dayne
,Clea,Person,Alive,Clea
Harbor town,Red Harbor,Location,,Red_Harbor
Castle,Ten Towers,Location,,Ten_Towers
Island,Fair Isle,Location,Inhabited,Fair_Isle
,Josera Snow,Person,Alive,Josera_Snow
,Gregor Forrester,Person,Deceased,Gregor_Forrester
,Torrhen Whitehill,Person,Alive,Torrhen_Whitehill
,Whitehill soldier,Person,Deceased,Whitehill_soldier_1
,Rickard Morgryn,Person,Alive,Rickard_Morgryn
,Ethan Forrester,Person,Deceased,Ethan_Forrester
,Andros,Person,Deceased,Andros
,Ebbert Whitehill,Person,Alive,Ebbert_Whitehill
,Karl Whitehill,Person,Deceased,Karl_Whitehill
,House Ryswell,House,,House_Ryswell
,Arthur Glenmore,Person,Deceased,Arthur_Glenmore
,Lord Glenmore,Person,Alive,Glenmore_(Lord)
,House Glenmore,House,,House_Glenmore
Feudal  hereditary  absolute  monarchy; Kingdom,Kingdom of the Rivers and Hills,Location,,Kingdom_of_the_River_and_the_Hills
,Lady Whitehill,Person,Deceased,Whitehill_(Lady)
Feudal  hereditary  absolute  monarchy; Kingdom,The Reach,Location,,Kingdom_of_the_Reach
Feudal  hereditary  absolute  monarchy; Kingdom,Kingdom of the Rock,Location,,Kingdom_of_the_Rock
,Rhaenys Targaryen,Person,Deceased,Rhaenys_Targaryen_(sister_of_Aegon_I)
,Argilac Durrandon,Person,Deceased,Argilac_Durrandon
,Shadow,Animal,Alive,Shadow_(snow_bear)
,Last Storm,Event,,Last_Storm
Greyscale quarantine area; Capital city (formerly),Valyria,Location,In ruins,Old_Valyria
,Mern IX Gardener,Person,Deceased,Mern_IX_Gardener
Feudal hereditary absolute monarchy; Principality,Principality of Dorne,Location,,Principality_of_Dorne
Castle,Summerhall,Location,Ruined,Summerhall
,Rhaegel Targaryen,Person,Deceased,Rhaegel_Targaryen
,Aerys I Targaryen,Person,Deceased,Aerys_I_Targaryen
Forest,Whispering Wood,Location,,Whispering_Wood
Town,Lord Harroway's Town,Location,,Lord_Harroway%27s_Town
Village,Saltpans,Location,,Saltpans
Town,Pennytree,Location,,Pennytree
Town,Stoney Sept,Location,,Stoney_Sept
Castle,Pinkmaiden,Location,,Pinkmaiden
Town,Maidenpool,Location,,Maidenpool
,Assassination of Ethan Forrester,Event,,Assassination_of_Ethan_Forrester
Feudal  elective  absolute  monarchy; Kingdom,Kingdom of the Isles and the Rivers,Location,,Kingdom_of_the_Isles_and_the_Rivers
,Alester Tyrell,Person,,Alester_Tyrell
Castle,Acorn Hall,Location,,Acorn_Hall
Castle,Raventree Hall,Location,,Raventree_Hall
Castle,Stone Hedge,Location,,Stone_Hedge
,The Vulture King,Person,Deceased,Vulture_King
,Ternesio Terys,Person,Alive,Ternesio_Terys
,Sam Tarly,Person,Deceased,Sam_Tarly
,Orys Baratheon,Person,Deceased,Orys_Baratheon
,Aenys I Targaryen,Person,Deceased,Aenys_Targaryen
,Horned Lord,Person,Deceased,Horned_Lord
Town,Fairmarket,Location,,Fairmarket
Town,Wendish Town,Location,,Wendish_Town
,Attempted Murder of Mira Forrester,Event,,Attempted_Murder_of_Mira_Forrester
,Skirmish at the Tuttle Farm,Event,,Skirmish_at_the_Tuttle_Farm
,Garlan Tyrell,Person,,Garlan_Tyrell
,Willas Tyrell,Person,,Willas_Tyrell
,The Last Dragons,HistoriesNLore,,The_Last_Dragons
,"House Martell, Princes of Dorne",HistoriesNLore,,"House_Martell,_Princes_of_Dorne"
,"House Arryn, Kings of the Vale",HistoriesNLore,,"House_Arryn,_Kings_of_the_Vale"
,Heartsbane,Weapon,With Samwell,Heartsbane
,Assassination of Renly Baratheon,Event,,Assassination_of_Renly_Baratheon
,"House Stark, The Kings of Winter",HistoriesNLore,,"House_Stark,_The_Kings_of_Winter"
,"House Lannister, Kings of the Rock & House Gardener, Kings of the Reach",HistoriesNLore,,"House_Lannister,_Kings_of_the_Rock_%26_House_Gardener,_Kings_of_the_Reach"
,"Aegon, First of His Name",HistoriesNLore,,"Aegon,_First_of_His_Name"
,"House Durrandon, the Storm Kings",HistoriesNLore,,"House_Durrandon,_the_Storm_Kings"
,"House Hoare, Ironborn Kings of the Riverlands",HistoriesNLore,,"House_Hoare,_Ironborn_Kings_of_the_Riverlands"
,Invasion,HistoriesNLore,,Invasion
,Prophecies of the Known World,HistoriesNLore,,Prophecies_of_the_Known_World
,The Hand of the King,HistoriesNLore,,The_Hand_of_the_King
,Highgarden,HistoriesNLore,,Highgarden_(Histories_%26_Lore)
,Capture of the Whitehill Garrison,Event,,Capture_of_the_Whitehill_Garrison
,Casterly Rock,HistoriesNLore,,Casterly_Rock_(Histories_%26_Lore)
,Raymun Redbeard,Person,Deceased,Raymun_Redbeard
,The Citadel,HistoriesNLore,,The_Citadel_(Histories_%26_Lore)
,Great Sept of Baelor,HistoriesNLore,,Great_Sept_of_Baelor_(Histories_%26_Lore)
,House Tarly,HistoriesNLore,,House_Tarly_(Histories_%26_Lore)
,Knights of the Vale,HistoriesNLore,,Knights_of_the_Vale_(Histories_%26_Lore)
,House Dayne,HistoriesNLore,,House_Dayne_(Histories_%26_Lore)
,The Little Birds,HistoriesNLore,,The_Little_Birds
,The Dragonpit,HistoriesNLore,,The_Dragonpit
,Oldtown,HistoriesNLore,,Oldtown_(Histories_%26_Lore)
,Riverrun,HistoriesNLore,,Riverrun_(Histories_%26_Lore)
,Brotherhood Without Banners,HistoriesNLore,,Brotherhood_Without_Banners_(Histories_%26_Lore)
,The Dothraki,HistoriesNLore,,The_Dothraki
,Children of the Forest vs. the First Men,HistoriesNLore,,Children_of_the_Forest_vs._the_First_Men
,Vaes Dothrak,HistoriesNLore,,Vaes_Dothrak_(Histories_%26_Lore)
,War of the Ninepenny Kings,HistoriesNLore,,War_of_the_Ninepenny_Kings_(Histories_%26_Lore)
,The Summer Sea,HistoriesNLore,,The_Summer_Sea
,High Septon,Person,Deceased,High_Septon_(Stonemason)
,The Kingsmoot,HistoriesNLore,,The_Kingsmoot_(Histories_%26_Lore)
,High Septon,Person,Deceased,High_Septon_(Baelor)
,Lord Belgrave,Person,Deceased,Belgrave_(Lord)
,High Septon,Person,Deceased,High_Septon_(Boy)
,Owen Merryweather,Person,,Owen_Merryweather
,Illyrio Mopatis' first wife,Person,Uncertain,Illyrio_Mopatis%27s_first_wife
,Godsway,Location,Active,Godsway
Gate,Horse Gate,Location,,Horse_Gate
,Axel Tully,Person,Deceased,Axel_Tully
Town / Pirate den,Port Plunder,Location,,Barter_Beach
Town / Pirate den,Whore's Gash,Location,,Whore%27s_Gash
Town / Pirate den,Sty,Location,,Sty
Town / Pirate den,Port Plunder,Location,,Port_Plunder
,Ibbenese,PersonType,Active,Ibbenese
,Shadow Men,PersonType,Active,Shadow_Men
,Theron,Person,Deceased,Theron
Builders,Mazemakers,Organization,,Mazemakers
,Quillion,Person,Deceased,Quillion
,Black Wall,Location,,Black_Wall
,Jellicoe,Person,Deceased,Jellicoe
,The Old Way,HistoriesNLore,,The_Old_Way
,The Great Masters of Meereen,HistoriesNLore,,The_Great_Masters_of_Meereen
,Greyscale & The Stone Men,HistoriesNLore,,Greyscale_%26_The_Stone_Men
,The Fighting Pits of Meereen,HistoriesNLore,,The_Fighting_Pits_of_Meereen
,Dorne,HistoriesNLore,,Dorne_(Histories_%26_Lore)
,The Lord Commanders,HistoriesNLore,,The_Lord_Commanders
,Winterfell,HistoriesNLore,,Winterfell_(Histories_%26_Lore)
,Cragorn,Person,Alive,Cragorn
,The Faceless Men,HistoriesNLore,,The_Faceless_Men
,Braavos,HistoriesNLore,,Braavos_(Histories_%26_Lore)
,Volantis,HistoriesNLore,,Volantis_(Histories_%26_Lore)
,Areo Hotah,Person,Deceased,Areo_Hotah
,The Many-Faced God,HistoriesNLore,,The_Many-Faced_God
,Maron Martell,Person,Deceased,Maron_Martell
,Meria Martell,Person,Deceased,Meria_Martell
Forest,Wolfswood,Location,,Wolfswood
Castle,Rillwater Crossing,Location,,Rillwater_Crossing
,Myriah Martell,Person,Deceased,Myriah_Martell
,Daenerys Targaryen,Person,Deceased,Daenerys_Targaryen_(daughter_of_Aegon_IV)
,Nymor Martell,Person,Deceased,Nymor_Martell
,Wineseller,Person,Deceased,Wineseller
Castle,Flint's Finger,Location,,Flint%27s_Finger
Castle,Greywater Watch,Location,,Greywater_Watch
Castle,Old Castle,Location,,Oldcastle
Castle,Widow's Watch,Location,,Widow%27s_Watch
Castle,Ramsgate,Location,,Ramsgate
Town,Winter town,Location,,Winter_town
,Garin,Person,Deceased,Garin_the_Great
Slave soldiers,Tiger cloaks,Organization,Active,Tiger_cloaks
Religious headquarters,Temple of the Lord of Light,Location,,Temple_of_the_Lord_of_Light_(Volantis)
,Uthero Zalyne,Person,Deceased,Uthero_Zalyne
Aqueduct,Sweetwater River,Location,,Sweetwater_River
,Albin Manwoody,Person,Deceased,Albin_Manwoody
,Lucifer Dryland,Person,Deceased,Lucifer_Dryland
,Garrison Fowler,Person,Deceased,Garrison_Fowler
,Yorick V Yronwood,Person,Deceased,Yorick_V_Yronwood
,Little Bird,Person,Alive,Little_Bird_(You_Win_or_You_Die)
,Silver,Animal,Deceased,The_silver
Castle,Seagard,Location,,Seagard
,Assault on the Dreadfort,Event,,Assault_on_the_Dreadfort
,The Seven-Pointed Star,HistoriesNLore,,The_Seven-Pointed_Star_(Histories_%26_Lore)
,Justice of the Seven Kingdoms,HistoriesNLore,,Justice_of_the_Seven_Kingdoms
,Valyrian Steel,HistoriesNLore,,Valyrian_Steel_(Histories_%26_Lore)
,The Death of Kings,HistoriesNLore,,The_Death_of_Kings
,The Kingsguard,HistoriesNLore,,The_Kingsguard_(Histories_%26_Lore)
,The Nations of the North,HistoriesNLore,,The_Nations_of_the_North
,The Wall,HistoriesNLore,,The_Wall_(Histories_%26_Lore)
,Sellswords & Hedge Knights,HistoriesNLore,,Sellswords_%26_Hedge_Knights
,The Iron Bank of Braavos,HistoriesNLore,,The_Iron_Bank_of_Braavos_(Histories_%26_Lore)
